id;country_name;country_code_alpha;country_code;country_flag;created_at;updated_at;created_by;updated_by
1;content backing up Usability;Div;GI;extend responsive;2020-12-20T18:04:26;2020-12-20T18:05:13;integrate actuating Beauty;Generic Frozen Gloves interactive
2;even-keeled Tasty Norway;wir;DO;Plastic open-source;2020-12-21T02:15:16;2020-12-21T02:18:01;clear-thinking;Music Direct
3;back up cutting-edge Cotton;exp;YT;alarm Music 4th generation;2020-12-20T20:26:39;2020-12-20T18:38:37;Refined Rubber Fish;Enterprise-wide
4;Strategist Soap maximized;ind;BM;cross-platform Small;2020-12-20T18:52:02;2020-12-20T13:30:25;focus group Cambridgeshire Granite;purple invoice Assurance
5;PCI;Sma;MG;Mauritania Plastic;2020-12-20T21:16:53;2020-12-21T00:02:09;implement Vision-oriented engineer;neutral
6;Synchronised Sleek;New;MY;compressing haptic;2020-12-20T17:43:07;2020-12-21T10:13:11;Ergonomic Interactions;deliverables IB wireless
7;connect Director hack;dep;YT;Fork;2020-12-20T11:28:40;2020-12-20T19:16:52;Guatemala;intuitive Jewelery Rustic
8;context-sensitive;Woo;SS;Bhutan mindshare vortals;2020-12-21T00:55:38;2020-12-20T11:17:43;Customer plug-and-play;online overriding program
9;New York ubiquitous;Bac;CN;cross-media;2020-12-20T12:01:36;2020-12-20T13:59:46;Bedfordshire capacitor;azure Louisiana Personal Loan Account
10;Handmade Plastic Car Mouse;Mus;HU;Incredible Wooden Shoes Pitcairn Islands;2020-12-20T15:59:33;2020-12-21T08:14:30;District encryption;generating
